Type of experience;Incident Type;Who was affected;Place;Person/Group who committed incident;Date
heard;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-10-26 16:45:31
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;i’m not sure/unknown.;2024-10-26 17:12:50
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;a professor.;2024-10-26 17:48:14
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-10-26 18:00:52
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-26 18:44:22
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone from off campus.;2024-10-26 18:53:06
heard;speech/rhetoric;Israel.;on the quad;a student.;2024-10-26 19:25:47
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a student.;2024-10-26 20:03:12
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-26 20:07:24
experienced;speech/rhetoric;Israel.;off campus;a student.;2024-10-26 20:19:53
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a student.;2024-10-26 20:47:42
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2024-10-26 21:59:34
heard;speech/rhetoric;Jewish students.;on the quad;a campus club or organization.;2024-10-26 22:09:21
experienced;graffiti;Israel.;off campus;i’m not sure/unknown.;2024-10-26 22:28:57
saw;speech/rhetoric;the Israeli government.;off campus;i’m not sure/unknown.;2024-10-26 22:29:35
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-26 22:36:07
saw;speech/rhetoric;Israel.;online;a student.;2024-10-26 22:42:44
experienced;speech/rhetoric;Israel.;online;a campus club or organization.;2024-10-26 22:49:17
heard;speech/rhetoric;Israel.;in my dorm;a student.;2024-10-26 23:04:32
experienced;speech/rhetoric;me.;in my dorm;a student.;2024-10-27 00:19:09
felt;speech/rhetoric;Israel.;on the quad;a student.;2024-10-27 04:47:24
experienced;speech/rhetoric;Jewish students.;at a student club;a professor.;2024-10-27 06:53:30
experienced;speech/rhetoric;the Israeli government.;—;—;2024-10-27 07:17:07
experienced;speech/rhetoric;Jewish students.;off campus;a student.;2024-10-27 08:08:04
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-27 08:59:26
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-27 09:21:06
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a professor.;2024-10-27 09:31:18
experienced;property damage;Jewish students.;on the quad;a professor.;2024-10-27 09:48:11
saw;speech/rhetoric;the Israeli government.;on the quad;a campus club or organization.;2024-10-27 10:48:23
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-10-27 10:49:19
saw;speech/rhetoric;Israel.;at a student club;a campus club or organization.;2024-10-27 10:50:09
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;i’m not sure/unknown.;2024-10-27 10:52:32
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-10-27 13:51:14
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-27 13:52:35
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;a campus club or organization.;2024-10-27 13:53:54
experienced;physical assault;me.;in my dorm;a student.;2024-10-27 13:54:16
experienced;call for BDS (Boycott, Divestment, Sanctions);Jews or the Jewish community.;in my dorm;a student.;2024-10-27 13:54:41
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;i’m not sure/unknown.;2024-10-27 14:39:57
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2024-10-27 14:48:58
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;—;—;2024-10-27 15:32:18
felt;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;at a student club;a campus club or organization.;2024-10-27 15:35:56
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;i’m not sure/unknown.;2024-10-27 15:51:12
saw;speech/rhetoric;Israel.;on the quad;a student.;2024-10-27 15:51:33
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;in my dorm;a student.;2024-10-27 15:56:03
experienced;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;—;2024-10-27 16:00:19
experienced;speech/rhetoric;Jews or the Jewish community.;online;—;2024-10-27 16:06:11
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;—;—;2024-10-27 16:32:51
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-10-27 16:34:44
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2024-10-27 16:36:39
felt;speech/rhetoric;me.;on the quad;a student.;2024-10-27 17:13:07
heard;speech/rhetoric;Jewish students.;on the quad;a student.;2024-10-27 17:17:02
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2024-10-27 17:31:45
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-10-27 17:35:56
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-27 17:44:26
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-10-27 18:05:23
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-27 18:06:08
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;a student.;2024-10-27 18:11:27
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a campus club or organization.;2024-10-27 18:25:00
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;off campus;i’m not sure/unknown.;2024-10-27 18:26:29
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-10-27 18:44:47
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-10-27 19:19:17
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-27 19:32:30
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-27 19:32:54
saw;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;in a classroom;a professor.;2024-10-27 19:33:25
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-27 20:34:37
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;a professor.;2024-10-27 20:57:33
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-27 21:22:26
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;i’m not sure/unknown.;2024-10-27 21:39:46
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-27 22:25:50
experienced;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-10-27 23:23:51
experienced;something else;Jews or the Jewish community.;off campus;a student.;2024-10-28 04:31:17
experienced;something else;Jewish students.;off campus;a campus club or organization.;2024-10-28 04:40:09
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone from off campus.;2024-10-28 07:11:21
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;someone online.;2024-10-28 07:12:06
saw;property damage;Jewish students.;on the quad;a professor.;2024-10-28 07:20:10
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;someone online.;2024-10-28 07:35:26
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-28 07:37:51
saw;graffiti;Israel.;on the quad;a campus club or organization.;2024-10-28 07:38:00
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;someone online.;2024-10-28 08:10:52
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-10-28 08:12:18
experienced;speech/rhetoric;Jews or the Jewish community.;in a classroom;a student.;2024-10-28 08:12:52
saw;speech/rhetoric;Jews or the Jewish community.;in a classroom;i’m not sure/unknown.;2024-10-28 08:14:42
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-10-28 10:45:42
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-10-28 11:01:55
saw;speech/rhetoric;the Israeli government.;off campus;i’m not sure/unknown.;2024-10-28 11:32:03
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a professor.;2024-10-28 12:51:26
—;graffiti;Israel.;off campus;i’m not sure/unknown.;2024-10-28 13:15:55
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-28 14:50:34
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;a campus club or organization.;2024-10-28 15:41:41
felt;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;online;—;2024-10-28 15:49:36
heard;speech/rhetoric;Israel.;off campus;someone from off campus.;2024-10-28 15:53:11
experienced;physical assault;me.;on the quad;—;2024-10-28 16:21:35
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-10-28 16:31:04
heard;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-10-28 16:38:08
experienced;speech/rhetoric;Israel.;online;someone online.;2024-10-28 16:55:28
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;in a classroom;a student.;2024-10-28 17:36:06
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-28 18:58:48
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a student.;2024-10-28 19:13:14
heard;speech/rhetoric;the Israeli government.;in a classroom;a student.;2024-10-28 20:03:33
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a campus club or organization.;2024-10-28 20:09:00
experienced;speech/rhetoric;me.;at Hillel or Chabad;a campus club or organization.;2024-10-28 20:09:30
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-28 20:22:02
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;i’m not sure/unknown.;2024-10-28 20:27:40
experienced;something else;me.;in a classroom;a student.;2024-10-28 20:55:27
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;off campus;—;2024-10-28 20:58:30
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a student.;2024-10-28 21:12:41
felt;call for BDS (Boycott, Divestment, Sanctions);—;off campus;i’m not sure/unknown.;2024-10-28 21:34:10
saw;speech/rhetoric;the Israeli government.;on the quad;a student.;2024-10-28 21:42:46
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;on the quad;a campus club or organization.;2024-10-28 21:58:54
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-28 23:04:14
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;at a student club;a student.;2024-10-28 23:13:16
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-28 23:40:23
heard;speech/rhetoric;Jews or the Jewish community.;on the quad;a student.;2024-10-28 23:49:43
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-10-29 01:38:28
felt;faculty conduct;faculty, staff, or administrators.;online;a professor.;2024-10-29 04:39:01
saw;graffiti;the Israeli government.;off campus;i’m not sure/unknown.;2024-10-29 04:39:42
—;graffiti;—;—;—;2024-10-29 04:40:05
felt;speech/rhetoric;me.;in my dorm;someone from off campus.;2024-10-29 07:00:31
saw;call for BDS (Boycott, Divestment, Sanctions);faculty, staff, or administrators.;on the quad;a campus club or organization.;2024-10-29 07:56:37
—;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;—;2024-10-29 08:47:53
saw;speech/rhetoric;—;at Hillel or Chabad;i’m not sure/unknown.;2024-10-29 09:21:11
saw;speech/rhetoric;the Israeli government.;on the quad;a student.;2024-10-29 10:28:14
saw;call for BDS (Boycott, Divestment, Sanctions);Israel.;online;a student.;2024-10-29 10:34:03
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;someone online.;2024-10-29 10:38:32
felt;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;off campus;a student.;2024-10-29 10:39:46
saw;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a student.;2024-10-29 10:55:45
heard;speech/rhetoric;me.;at my fraternity or sorority;i’m not sure/unknown.;2024-10-29 11:28:37
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at a student club;a student.;2024-10-29 11:30:42
experienced;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;online;someone online.;2024-10-29 11:40:49
experienced;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-29 12:33:20
saw;speech/rhetoric;Jewish students.;on the quad;a campus club or organization.;2024-10-29 12:41:45
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a campus club or organization.;2024-10-29 13:10:45
heard;call for BDS (Boycott, Divestment, Sanctions);the Israeli government.;at Hillel or Chabad;a student.;2024-10-29 14:08:14
heard;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-10-29 14:43:22
felt;speech/rhetoric;Israel.;on the quad;a campus club or organization.;2024-10-29 14:55:06
saw;speech/rhetoric;Israel.;on the quad;i’m not sure/unknown.;2024-10-29 15:28:52
felt;call for BDS (Boycott, Divestment, Sanctions);Israel.;on the quad;a student.;2024-10-29 15:31:15
heard;speech/rhetoric;me.;online;i’m not sure/unknown.;2024-10-29 16:13:56
saw;call for BDS (Boycott, Divestment, Sanctions);Jewish students.;at a student club;i’m not sure/unknown.;2024-10-29 16:14:25
